page,block_type,character,text,explicit_tone,scene
73,DIALOGUE,PRIEST,person who puts his faith in me will never,,EXT. GRAVEYARD DAY
73,DIALOGUE,PRIEST,suffer eternal death,,EXT. GRAVEYARD DAY
73,DIALOGUE,PRIEST,"his eyes, and looks up. He spots the",,EXT. GRAVEYARD DAY
73,DIALOGUE,PRIEST,"mourners. His eyes suddenly fi erce, he",,EXT. GRAVEYARD DAY
73,DIALOGUE,PRIEST,walks up to him.,,EXT. GRAVEYARD DAY
73,DIALOGUE,PRIEST,jSUpks,,EXT. GRAVEYARD DAY
73,DIALOGUE,RANCHO,xqM U;wt+ gS ljA uk iqfyl dks irk pyk],in a low voice,EXT. GRAVEYARD DAY
73,DIALOGUE,RANCHO,father have no clue. Everyone thinks this,,EXT. GRAVEYARD DAY
73,DIALOGUE,RANCHO,uk tkW; ds cki dksA lc lksp jgs gSa lqlkbM,,EXT. GRAVEYARD DAY
73,DIALOGUE,RANCHO,is suicide.,,EXT. GRAVEYARD DAY
73,DIALOGUE,RANCHO,gS ljA,,EXT. GRAVEYARD DAY
74,DIALOGUE,RANCHO,jSUpks,,EXT. GRAVEYARD DAY
74,DIALOGUE,RANCHO,iksLVekVZe fjiksVZ esa vk;k ekSr dk dkj.k%,,EXT. GRAVEYARD DAY
74,DIALOGUE,RANCHO,buVSUl izs'kj vkWu foaMikbi] fjtfYVax bu,,EXT. GRAVEYARD DAY
74,DIALOGUE,RANCHO,pksfdaxA,,EXT. GRAVEYARD DAY
74,DIALOGUE,RANCHO,choking.,,EXT. GRAVEYARD DAY
74,DIALOGUE,RANCHO,jSUpks,,EXT. GRAVEYARD DAY
74,DIALOGUE,RANCHO,oks csodwQ lksp jgs gS fd b/kj izs'kj iM+us,,EXT. GRAVEYARD DAY
74,DIALOGUE,RANCHO,dh otg ls ej x;kA vkSj fiNys pkj lky,,EXT. GRAVEYARD DAY
74,DIALOGUE,RANCHO,him. What about the mental pressure for,,EXT. GRAVEYARD DAY
74,DIALOGUE,RANCHO,ls tks ;gk¡ izs'kj iM+ jgk gS] mldk D;k\ oks,,EXT. GRAVEYARD DAY
74,DIALOGUE,RANCHO,the last four years? That’s missing in the,,EXT. GRAVEYARD DAY
74,DIALOGUE,RANCHO,rks fjiksVZ esa gS gh ughaa ljA,,EXT. GRAVEYARD DAY
74,DIALOGUE,RANCHO,report.,,EXT. GRAVEYARD DAY
74,DIALOGUE,RANCHO,"increasing alarm, Farhan and Raju watch",,EXT. GRAVEYARD DAY
74,DIALOGUE,RANCHO,their friend speak to the Director.,,EXT. GRAVEYARD DAY
74,DIALOGUE,RANCHO,jSUpks,,EXT. GRAVEYARD DAY
74,DIALOGUE,RANCHO,";s bUthfu;j Hkh cMs+ pkykd gSa lj ,slh",,EXT. GRAVEYARD DAY
74,DIALOGUE,RANCHO,dksbZ e'khu gh ughaa cukbZ tks ;gk¡ dk izs'kj,,EXT. GRAVEYARD DAY
74,DIALOGUE,RANCHO,never make a machine to measure mental,,EXT. GRAVEYARD DAY
74,DIALOGUE,RANCHO,uki ldsA,,EXT. GRAVEYARD DAY
74,DIALOGUE,RANCHO,pressure.,,EXT. GRAVEYARD DAY
74,DIALOGUE,RANCHO,jSUpks,,EXT. GRAVEYARD DAY
74,DIALOGUE,RANCHO,cukrs rks irk py tkrk fd ;s lqlkbM ughaa],,EXT. GRAVEYARD DAY
74,DIALOGUE,RANCHO,eMZj gS ljA,,EXT. GRAVEYARD DAY
74,DIALOGUE,RANCHO,"suicide it’s murder, Sir.",,EXT. GRAVEYARD DAY
74,DIALOGUE,DAY,with anger. Rancho stands before him.,,"INT. DIRECTOR’S OFFICE, ICE"
75,DIALOGUE,DIRECTOR,"tkW; ds lqlkbM ds fy, rqe eq>s nks”""k ns jgs",in a raised voice,"INT. DIRECTOR’S OFFICE, ICE"
75,DIALOGUE,DIRECTOR,"gks\ ,d LVwMUV izs'kj ugha ys ikrk rks ge",,"INT. DIRECTOR’S OFFICE, ICE"
75,DIALOGUE,DIRECTOR,our fault? Life is full of pressures. Will you,,"INT. DIRECTOR’S OFFICE, ICE"
75,DIALOGUE,DIRECTOR,"ft+Eesnkj dSls\ oSls ft+Unxh es dbZ izs'kj vk,axs",,"INT. DIRECTOR’S OFFICE, ICE"
75,DIALOGUE,DIRECTOR,always blame others for pressure in life?,,"INT. DIRECTOR’S OFFICE, ICE"
75,DIALOGUE,DIRECTOR,"rks ges'kk rqe nwljs is nks”""k Mkyksxs\",,"INT. DIRECTOR’S OFFICE, ICE"
75,DIALOGUE,DIRECTOR,jSUpks,,"INT. DIRECTOR’S OFFICE, ICE"
75,DIALOGUE,RANCHO,"lj] eS a vkidks nks ""k ugha ns jgk gw ljA lj eS a",,"INT. DIRECTOR’S OFFICE, ICE"
75,DIALOGUE,RANCHO,",s Dpoyh flLVe dks nks k ns jgk gw A lj es js",,"INT. DIRECTOR’S OFFICE, ICE"
75,DIALOGUE,RANCHO,ikl dq N LVfVfLVDl ga S ljA lj lq lkbM es a,,"INT. DIRECTOR’S OFFICE, ICE"
75,DIALOGUE,RANCHO,"in suicides. Every minutes, a student",,"INT. DIRECTOR’S OFFICE, ICE"
75,DIALOGUE,RANCHO,ba fM;k u- gS ljA gj Ms ?ka Vs es dks bZ u dks bZ,,"INT. DIRECTOR’S OFFICE, ICE"
75,DIALOGUE,RANCHO,attempts suicide. Suicide is a bigger killer,,"INT. DIRECTOR’S OFFICE, ICE"
75,DIALOGUE,RANCHO,"than disease. Something’s terribly wrong,",,"INT. DIRECTOR’S OFFICE, ICE"
75,DIALOGUE,RANCHO,is LVw MUV fcekjh ls de vks j lq lkbM ls T+ ;knk,,"INT. DIRECTOR’S OFFICE, ICE"
75,DIALOGUE,RANCHO,ejrs gS A dq N rks xyr gks jgk gS u ljA,,"INT. DIRECTOR’S OFFICE, ICE"
75,DIALOGUE,DIRECTOR,eS nwljs dkWyst~l ds ckjs esa ugha crk ldrk,,"INT. DIRECTOR’S OFFICE, ICE"
75,DIALOGUE,DIRECTOR,cV fnl bt+ ou vkWQ n QkbuSLV dkWyst~l,,"INT. DIRECTOR’S OFFICE, ICE"
75,DIALOGUE,DIRECTOR,the fi nest colleges in the country. I’ve run,,"INT. DIRECTOR’S OFFICE, ICE"
75,DIALOGUE,DIRECTOR,bu n dUVªhA crhl lky ls eaS ;g dkWyst,,"INT. DIRECTOR’S OFFICE, ICE"
75,DIALOGUE,DIRECTOR,this place for years. We were ranked,,"INT. DIRECTOR’S OFFICE, ICE"
75,DIALOGUE,DIRECTOR,pyk jgk gw¡ vksj vkëkbLoha ikWft'ku ls u-,,"INT. DIRECTOR’S OFFICE, ICE"
75,DIALOGUE,DIRECTOR,28th. Now we’re No.,,"INT. DIRECTOR’S OFFICE, ICE"
75,DIALOGUE,DIRECTOR,rd ysdj vk;k gw¡ eaSA,,"INT. DIRECTOR’S OFFICE, ICE"
75,DIALOGUE,DIRECTOR,jSUpks,,"INT. DIRECTOR’S OFFICE, ICE"
75,DIALOGUE,RANCHO,lj okWV u- okWV u- 1A lj] ;gk¡ is dksbZ,,"INT. DIRECTOR’S OFFICE, ICE"
75,DIALOGUE,RANCHO,u;s vkbfM;kl dh ckr gh ughaa djrk lj],,"INT. DIRECTOR’S OFFICE, ICE"
75,DIALOGUE,RANCHO,discuss new ideas or inventions. They,,"INT. DIRECTOR’S OFFICE, ICE"
75,DIALOGUE,RANCHO,buoSU'ku dh ckr gh ugha djrkA ckr djrs,,"INT. DIRECTOR’S OFFICE, ICE"
75,DIALOGUE,RANCHO,"discuss grades, jobs, settling in USA. They",,"INT. DIRECTOR’S OFFICE, ICE"
75,DIALOGUE,RANCHO,"gSa rks flQZ ekDZl dh ;k fQj] ;w,l, es",,"INT. DIRECTOR’S OFFICE, ICE"
75,DIALOGUE,RANCHO,teach how to get good scores. They don’t,,"INT. DIRECTOR’S OFFICE, ICE"
75,DIALOGUE,RANCHO,ukSdjh dhA lj ;gk¡ is Kku ugha fey jgk gS,,"INT. DIRECTOR’S OFFICE, ICE"
75,DIALOGUE,RANCHO,teach engineering.,,"INT. DIRECTOR’S OFFICE, ICE"
75,DIALOGUE,RANCHO,lj] ;gk¡ is flQZ ;g fl[kk;k tk jgk gS fd,,"INT. DIRECTOR’S OFFICE, ICE"
75,DIALOGUE,RANCHO,ekDZl dSls ykrs gSaAA,,"INT. DIRECTOR’S OFFICE, ICE"
75,DIALOGUE,RANCHO,springs to his feet.,,"INT. DIRECTOR’S OFFICE, ICE"
75,DIALOGUE,DIRECTOR,vc ^rqe* eq>s fl[kkvksxs dSls i<+krs gS\,shouting,"INT. DIRECTOR’S OFFICE, ICE"
76,DIALOGUE,DIRECTOR,jSUpks,,"INT. DIRECTOR’S OFFICE, ICE"
76,DIALOGUE,RANCHO,uks lj] vkb,,"INT. DIRECTOR’S OFFICE, ICE"
76,DIALOGUE,RANCHO,"dragging him out of the offi ce. Stunned,",,"INT. DIRECTOR’S OFFICE, ICE"
76,DIALOGUE,RANCHO,"unable to retaliate, Rancho glances back",,"INT. DIRECTOR’S OFFICE, ICE"
76,DIALOGUE,RANCHO,helplessly at his fallen sheet of statistics.,,"INT. DIRECTOR’S OFFICE, ICE"
76,DIALOGUE,RANCHO,jSUpks,,"INT. DIRECTOR’S OFFICE, ICE"
76,DIALOGUE,RANCHO,lj] lj ekb isij,,"INT. DIRECTOR’S OFFICE, ICE"
76,DIALOGUE,CONTINUOUS,the Director drags Rancho through the,,"EXT. CORRIDOR, ICE"
76,DIALOGUE,CONTINUOUS,corridors of ICE.,,"EXT. CORRIDOR, ICE"
76,DIALOGUE,CONTINUOUS,as the Director hurls Rancho towards his,,"INT. CLASSROOM, ICE"
76,DIALOGUE,CONTINUOUS,"table. The class watches, baffl ed.",,"INT. CLASSROOM, ICE"
76,DIALOGUE,DIRECTOR,worried.,to the professor,"INT. CLASSROOM, ICE"
76,DIALOGUE,DIRECTOR,"vkt gekjs chp ,d ,sls yhMj gaS] ftudk",,"INT. CLASSROOM, ICE"
76,DIALOGUE,DIRECTOR,ekuuk gS fd oks gekjs gkbZyh DokfyQkbM VhplZ,,"INT. CLASSROOM, ICE"
76,DIALOGUE,DIRECTOR,thinks he is better than our highly qualifi ed,,"INT. CLASSROOM, ICE"
76,DIALOGUE,DIRECTOR,ls csgrj i<+k ldrs gSA rks vkt izksQslj,,"INT. CLASSROOM, ICE"
76,DIALOGUE,DIRECTOR,teacher. Professor Ranchhoddas Chanchad,,"INT. CLASSROOM, ICE"
76,DIALOGUE,DIRECTOR,"juNksM+nkl Nk¡NM+ gesa baftfu;fjax fl[kk,axsA",,"INT. CLASSROOM, ICE"
76,DIALOGUE,DIRECTOR,will teach us engineering.,,"INT. CLASSROOM, ICE"
77,DIALOGUE,DIRECTOR,the Director joins the seated students,,"INT. CLASSROOM, ICE"
77,DIALOGUE,DIRECTOR,facing him.,,"INT. CLASSROOM, ICE"
77,DIALOGUE,DIRECTOR,"smiles broadly, enjoying his discomfort.",,"INT. CLASSROOM, ICE"
77,DIALOGUE,DIRECTOR,anxiously.,,"INT. CLASSROOM, ICE"
77,DIALOGUE,DIRECTOR,"sling bag, places it on the table and picks",,"INT. CLASSROOM, ICE"
77,DIALOGUE,DIRECTOR,up a book lying there. He leafs through the,,"INT. CLASSROOM, ICE"
77,DIALOGUE,DIRECTOR,"book and then, referring to it, writes two",,"INT. CLASSROOM, ICE"
77,DIALOGUE,DIRECTOR,words on the board FARHANITRATE,,"INT. CLASSROOM, ICE"
77,DIALOGUE,DIRECTOR,and PRERAJULISATION. He turns to,,"INT. CLASSROOM, ICE"
77,DIALOGUE,DIRECTOR,face the class.,,"INT. CLASSROOM, ICE"
77,DIALOGUE,DIRECTOR,jSUpks,,"INT. CLASSROOM, ICE"
77,DIALOGUE,RANCHO,"vkids ikl rhl lSdasM gSA cksMZ is fy[ks gq,s",,"INT. CLASSROOM, ICE"
77,DIALOGUE,RANCHO,'kCnksa dk eryc le>kuk gSA,,"INT. CLASSROOM, ICE"
77,DIALOGUE,RANCHO,written.,,"INT. CLASSROOM, ICE"
77,DIALOGUE,RANCHO,watch.,,"INT. CLASSROOM, ICE"
77,DIALOGUE,RANCHO,jSUpks,,"INT. CLASSROOM, ICE"
77,DIALOGUE,RANCHO,vki pkgs rks fdrkc dk bLrseky dj ldrs,,"INT. CLASSROOM, ICE"
77,DIALOGUE,RANCHO,gSaA ftls tokc feysxk oks gkFk Åij djsxkA,,"INT. CLASSROOM, ICE"
77,DIALOGUE,RANCHO,hand if you get the answer. Let’s see who,,"INT. CLASSROOM, ICE"
77,DIALOGUE,RANCHO,ns[krs gSa dkSu QLVZ vkrk gS vkSj dkSu ykLVA,,"INT. CLASSROOM, ICE"
77,DIALOGUE,RANCHO,"comes fi rst, who comes last. Your time",,"INT. CLASSROOM, ICE"
77,DIALOGUE,RANCHO,;wvj Vkbe LVkVZ~l ukWoA,,"INT. CLASSROOM, ICE"
77,DIALOGUE,RANCHO,starts now.,,"INT. CLASSROOM, ICE"
77,DIALOGUE,RANCHO,frantically. Chatur charges to the teacher’s,,"INT. CLASSROOM, ICE"
77,DIALOGUE,RANCHO,table and grabs the book Rancho had,,"INT. CLASSROOM, ICE"
77,DIALOGUE,RANCHO,referred to.,,"INT. CLASSROOM, ICE"
78,DIALOGUE,CHATUR,"snatches a book, and then another, from",,"INT. CLASSROOM, ICE"
78,DIALOGUE,CHATUR,the student next to him. He goes through,,"INT. CLASSROOM, ICE"
78,DIALOGUE,CHATUR,both books simultaneously: ambidextrous.,,"INT. CLASSROOM, ICE"
78,DIALOGUE,CHATUR,manically. Rancho keeps time.,,"INT. CLASSROOM, ICE"
78,DIALOGUE,RANCHO,jSUpks,,"INT. CLASSROOM, ICE"
78,DIALOGUE,RANCHO,"your life by a minute. When I asked Time up Sir, time up.",,"INT. CLASSROOM, ICE"
78,DIALOGUE,RANCHO,"this question, were you excited? Curious? (to the class)",,"INT. CLASSROOM, ICE"
78,DIALOGUE,RANCHO,"ykbQ dk ,d feuV fjokbUM djks vkSj lkspksA",,"INT. CLASSROOM, ICE"
78,DIALOGUE,RANCHO,tc eaSus ;g loky iwNk fdlh us ;g lkspk,,"INT. CLASSROOM, ICE"
78,DIALOGUE,RANCHO,"race. What’s the use of such methods, even",,"INT. CLASSROOM, ICE"
78,DIALOGUE,RANCHO,fd vkt dqN u;k lh[kus dks feysxk] et+k,,"INT. CLASSROOM, ICE"
78,DIALOGUE,RANCHO,if you come fi rst. Will your knowledge,,"INT. CLASSROOM, ICE"
78,DIALOGUE,RANCHO,"vk,xk ,suhou\ lj\ ughaaA lc jsl esa",,"INT. CLASSROOM, ICE"
78,DIALOGUE,RANCHO,"increase? No, just the pressure. This is a",,"INT. CLASSROOM, ICE"
78,DIALOGUE,RANCHO,"yx x;sA ,sls i<+ ds QLVZ vk Hkh x,s] rks",,"INT. CLASSROOM, ICE"
78,DIALOGUE,RANCHO,"college, not a pressure cooker.",,"INT. CLASSROOM, ICE"
78,DIALOGUE,RANCHO,ughaa! flQZ izs'kj c<+sxk! vkSj ;s dkWyst gS],,"INT. CLASSROOM, ICE"
78,DIALOGUE,RANCHO,izs'kj dqdj ughaaA,,"INT. CLASSROOM, ICE"
78,DIALOGUE,RANCHO,jSUpks,,"INT. CLASSROOM, ICE"
78,DIALOGUE,RANCHO,vjs pkcqd ds Mj ls rks ldZl dk 'ksj Hkh,,"INT. CLASSROOM, ICE"
78,DIALOGUE,RANCHO,mNy ds dqlhZ ij cSBuk lh[k tkrk gSA,,"INT. CLASSROOM, ICE"
78,DIALOGUE,RANCHO,"ysfdu ,sls 'ksj dks ge osy VªsUM dgrs gSa]",,"INT. CLASSROOM, ICE"
78,DIALOGUE,RANCHO,in fear of the whip. But you call such a,,"INT. CLASSROOM, ICE"
78,DIALOGUE,RANCHO,"osy ,tqdsfVM ughaaA",,"INT. CLASSROOM, ICE"
78,DIALOGUE,RANCHO,"lion ‘well trained’, not ‘well educated’.",,"INT. CLASSROOM, ICE"
79,DIALOGUE,DIRECTOR,gSYyks! fnl bt+ ukSV v fQykslkWQh DyklA mu,,"INT. CLASSROOM, ICE"
79,DIALOGUE,DIRECTOR,nks oMZl dk eryc crkvks] clA,,"INT. CLASSROOM, ICE"
79,DIALOGUE,DIRECTOR,explain those two words.,,"INT. CLASSROOM, ICE"
79,DIALOGUE,DIRECTOR,jSUpkss,,"INT. CLASSROOM, ICE"
79,DIALOGUE,RANCHO,"lj ,sls dksbZ oMZl gS gh ugha ljA",,"INT. CLASSROOM, ICE"
79,DIALOGUE,RANCHO,jSUpkss,,"INT. CLASSROOM, ICE"
79,DIALOGUE,RANCHO,ljA ;s rks esjs nksLrksa ds uke gSaA Qjgku,,"INT. CLASSROOM, ICE"
79,DIALOGUE,RANCHO,vkSj jktwA,,"INT. CLASSROOM, ICE"
79,DIALOGUE,RANCHO,in PRERAJULISATION. The students,,"INT. CLASSROOM, ICE"
79,DIALOGUE,RANCHO,break into laughter.,,"INT. CLASSROOM, ICE"
79,DIALOGUE,DIRECTOR,baftfu;fjax!,,"INT. CLASSROOM, ICE"
79,DIALOGUE,DIRECTOR,engineering?,,"INT. CLASSROOM, ICE"
79,DIALOGUE,DIRECTOR,jSUpkss,,"INT. CLASSROOM, ICE"
79,DIALOGUE,RANCHO,ughaa ljA eSa vkidks baftfu;fjax ugha i<+k jgk,,"INT. CLASSROOM, ICE"
79,DIALOGUE,RANCHO,jSUpks,,"INT. CLASSROOM, ICE"
79,DIALOGUE,RANCHO,eSa rks vkidks ;g i<+k jgk Fkk fd i<k+rs,,"INT. CLASSROOM, ICE"
79,DIALOGUE,RANCHO,dSls gSaA,,"INT. CLASSROOM, ICE"
79,DIALOGUE,RANCHO,jSUpks,,"INT. CLASSROOM, ICE"
79,DIALOGUE,RANCHO,"vkSj eq>s ;dhu gS fd vki ,d fnu t:j",,"INT. CLASSROOM, ICE"
79,DIALOGUE,RANCHO,fl[ksaxs lj] D;ksaafd eSa vius det+ksj LVwMUV~l,,"INT. CLASSROOM, ICE"
79,DIALOGUE,RANCHO,"unlike you, I never abandon my weak",,"INT. CLASSROOM, ICE"
79,DIALOGUE,RANCHO,dk gkFk dHkh ughaa NksM+rkA,,"INT. CLASSROOM, ICE"
79,DIALOGUE,RANCHO,students.,,"INT. CLASSROOM, ICE"
80,DIALOGUE,RANCHO,makes a run for the exit.,,"INT. CLASSROOM, ICE"
80,DIALOGUE,RANCHO,jSUpkss,,"INT. CLASSROOM, ICE"
80,DIALOGUE,RANCHO,ck;] lj!,,"INT. CLASSROOM, ICE"
80,DIALOGUE,RANCHO,"rage, the Director yells at them.",,"INT. CLASSROOM, ICE"
80,DIALOGUE,DAY,letters simultaneously: Ambidextrous.,,"INT. DIRECTOR’S OFFICE, ICE"
80,DIALOGUE,DIRECTOR,cM+s [ksn ds lkFk eSa vkidks lwfpr djuk pkgrk,,"INT. DIRECTOR’S OFFICE, ICE"
80,DIALOGUE,DIRECTOR,gw¡ fd vkidk csVk ---A,,"INT. DIRECTOR’S OFFICE, ICE"
80,DIALOGUE,DIRECTOR,jktwA,,"INT. DIRECTOR’S OFFICE, ICE"
81,DIALOGUE,HOUSE DAY,receive the letters from the Director.,,INT. FARHAN’S HOUSE RAJU’S
81,DIALOGUE,FARHAN,"ok;jl ds ySVZl gekjs ?kj is ,sVe ce dh",,INT. FARHAN’S HOUSE RAJU’S
81,DIALOGUE,FARHAN,rjg fxjsA fgjksf'kek vkSj ukxklkdh es ekre,,INT. FARHAN’S HOUSE RAJU’S
81,DIALOGUE,FARHAN,atom bombs. Hiroshima and Nagasaki,,INT. FARHAN’S HOUSE RAJU’S
81,DIALOGUE,FARHAN,plunged into gloom. Our parents invited,,INT. FARHAN’S HOUSE RAJU’S
81,DIALOGUE,FARHAN,"ds fy, buokbV fd;k x;kA",,INT. FARHAN’S HOUSE RAJU’S
81,DIALOGUE,FARHAN,us for a dressing down.,,INT. FARHAN’S HOUSE RAJU’S
81,DIALOGUE,FARHAN’S FATHER,"vkb,A vUnj vkb,A vkb, vkb,A m/kj nsf[k,A",,INT. FARHAN’S HOUSE DAY
81,DIALOGUE,FARHAN’S FATHER,",d gh ,;j daafM'kuj ,sQksMZ dj ldrs Fks",,INT. FARHAN’S HOUSE DAY
81,DIALOGUE,FARHAN’S FATHER,one air-conditioner We put it in Farhan’s,,INT. FARHAN’S HOUSE DAY
81,DIALOGUE,FARHAN’S FATHER,geA vkSj oks geus vius ugha] Qjgku ds dejs,,INT. FARHAN’S HOUSE DAY
81,DIALOGUE,FARHAN’S FATHER,"room, so he could study in comfort. I didn’t",,INT. FARHAN’S HOUSE DAY
81,DIALOGUE,FARHAN’S FATHER,es yxk;k] rkfd oks lqdwu ls i<+ ldsA dkj,,INT. FARHAN’S HOUSE DAY
81,DIALOGUE,FARHAN’S FATHER,buy a car. I managed with a scooter. We,,INT. FARHAN’S HOUSE DAY
81,DIALOGUE,FARHAN’S FATHER,ugha [kjhnh eSausA vkt rd LdwVj pykrk gw¡A,,INT. FARHAN’S HOUSE DAY
81,DIALOGUE,FARHAN’S FATHER,put all our money into Farhan’s education.,,INT. FARHAN’S HOUSE DAY
81,DIALOGUE,FARHAN’S FATHER,lkjk iSlk geus Qjgku dh i<+kbZ eas yxk fn;kA,,INT. FARHAN’S HOUSE DAY
81,DIALOGUE,FARHAN’S FATHER,"viuk ¶;qpj geus Qjgku ds ¶;wpj ds fy,",,INT. FARHAN’S HOUSE DAY
81,DIALOGUE,FARHAN’S FATHER,future. Understand?,,INT. FARHAN’S HOUSE DAY
81,DIALOGUE,FARHAN’S FATHER,dqckZu dj fn;kA le>s dh ugha vki\,,INT. FARHAN’S HOUSE DAY
81,DIALOGUE,FARHAN’S FATHER,"to the left, to the right",,INT. FARHAN’S HOUSE DAY
81,DIALOGUE,FARHAN’S FATHER,in the room is covered with wildlife,,INT. FARHAN’S HOUSE DAY
81,DIALOGUE,FARHAN’S FATHER,photography. The pictures are stunning.,,INT. FARHAN’S HOUSE DAY
81,DIALOGUE,FARHAN’S FATHER,unrehearsed moments of nature. Farhan’s,,INT. FARHAN’S HOUSE DAY
81,DIALOGUE,FARHAN’S FATHER,listening.,,INT. FARHAN’S HOUSE DAY
82,DIALOGUE,FARHAN’S FATHER,"vkSj mlds ckn tc eq>s ,slk [kr vk;k",,INT. FARHAN’S HOUSE DAY
82,DIALOGUE,FARHAN’S FATHER,fiflaiy lkgc ls] rks D;k vki vUnkt+k yxk,,INT. FARHAN’S HOUSE DAY
82,DIALOGUE,FARHAN’S FATHER,"from the Principal, can you imagine how",,INT. FARHAN’S HOUSE DAY
82,DIALOGUE,FARHAN’S FATHER,ldrs gaS fd eq> ij D;k chr jgh gksxh\,,INT. FARHAN’S HOUSE DAY
82,DIALOGUE,FARHAN’S FATHER,riveted.,,INT. FARHAN’S HOUSE DAY
82,DIALOGUE,FARHAN’S FATHER,jSUpks,,INT. FARHAN’S HOUSE DAY
82,DIALOGUE,RANCHO,"gs] ;s QksVksl rwus fy, Qjgku\",,INT. FARHAN’S HOUSE DAY
82,DIALOGUE,FARHAN’S FATHER,"tkuojksa dh rLohjsa fy, fQjrs FksA dgrs Fks fd",,INT. FARHAN’S HOUSE DAY
82,DIALOGUE,FARHAN’S FATHER,a while. Went around taking pictures,,INT. FARHAN’S HOUSE DAY
82,DIALOGUE,FARHAN’S FATHER,eq>sa okbYM~ykbQ QksVksxzkQj cuuk gSA csVs ml,,INT. FARHAN’S HOUSE DAY
82,DIALOGUE,FARHAN’S FATHER,of animals. Wanted to be a wildlife,,INT. FARHAN’S HOUSE DAY
82,DIALOGUE,FARHAN’S FATHER,lky rqEgkjh ijlSaVst+ fdruh Fkh\ crkvksA,,INT. FARHAN’S HOUSE DAY
82,DIALOGUE,FARHAN’S FATHER,"photographer. Son, what was your score",,INT. FARHAN’S HOUSE DAY
82,DIALOGUE,FARHAN’S FATHER,that year? Tell.,,INT. FARHAN’S HOUSE DAY
82,DIALOGUE,FARHAN’S FATHER,lquk vkius\ ls lh/ks 91»A,,INT. FARHAN’S HOUSE DAY
82,DIALOGUE,FARHAN’S FATHER,the damage is done.,,INT. FARHAN’S HOUSE DAY
82,DIALOGUE,FARHAN’S FATHER,vkidks et+kd yx jgk gS\,,INT. FARHAN’S HOUSE DAY
82,DIALOGUE,FARHAN’S FATHER,jSUpks,,INT. FARHAN’S HOUSE DAY
82,DIALOGUE,RANCHO,"ughaa] ughaa vady] lkWjh ,sDpoyh eSa ;g dg",,INT. FARHAN’S HOUSE DAY
82,DIALOGUE,RANCHO,jgk gw¡ fdrus deky ds QksVks [khaps gS lj],,INT. FARHAN’S HOUSE DAY
82,DIALOGUE,RANCHO,photos. Why make him an engineer,,INT. FARHAN’S HOUSE DAY
82,DIALOGUE,RANCHO,mlus! bldks vki baftfu;j D;ksa cuk jgs gSa\,,INT. FARHAN’S HOUSE DAY
83,DIALOGUE,RANCHO,"bldks rks okbYM~ykbQ QksVksxzkQj cuuk pkfg,A",,INT. FARHAN’S HOUSE DAY
83,DIALOGUE,RANCHO,cgqr vkxs c<+ssxk,,INT. FARHAN’S HOUSE DAY
83,DIALOGUE,RANCHO,speaks with barely contained fury.,,INT. FARHAN’S HOUSE DAY
83,DIALOGUE,FARHAN’S FATHER,lqfu;s gkFk tksM+ dj vkils xqt+kfj'k djrk,,INT. FARHAN’S HOUSE DAY
83,DIALOGUE,FARHAN’S FATHER,"gw¡] esjs csVs dk ¶(cid:2);qpj cjckn er dhft,A",,INT. FARHAN’S HOUSE DAY
83,DIALOGUE,FARHAN’S FATHER,ruin my son’s future.,,INT. FARHAN’S HOUSE DAY
83,DIALOGUE,FARHAN’S FATHER,smiling warmly.,,INT. FARHAN’S HOUSE DAY
83,DIALOGUE,FARHAN’S MOTHER,cPpksa] [kkuk yx x;kA vk tkvksA,,INT. FARHAN’S HOUSE DAY
83,DIALOGUE,FARHAN,gk¡ py uk] [kkrs gaSA,,INT. FARHAN’S HOUSE DAY
83,DIALOGUE,FARHAN,"towards the dining area, Farhan’s Father",,INT. FARHAN’S HOUSE DAY
83,DIALOGUE,FARHAN,steps in front of Rancho and places a,,INT. FARHAN’S HOUSE DAY
83,DIALOGUE,FARHAN,restraining hand on his shoulder.,,INT. FARHAN’S HOUSE DAY
83,DIALOGUE,FARHAN’S FATHER,vxyh ckj vkvksxs rks [kkuk t+:j [kkds,,INT. FARHAN’S HOUSE DAY
83,DIALOGUE,FARHAN’S FATHER,tkukA,,INT. FARHAN’S HOUSE DAY
84,DIALOGUE,FARHAN,"jktw dk ?kj dh CySd ,.M OgkbV fQYeksa",,INT. EXT. RAJU’S HOUSE
84,DIALOGUE,FARHAN,"dh ;kn fnykrk FkkA ,d NksVk lk dejk ftleas",,INT. EXT. RAJU’S HOUSE
84,DIALOGUE,FARHAN,"and white fi lm. A small, dingy room, a",,INT. EXT. RAJU’S HOUSE
84,DIALOGUE,FARHAN,",d iSjkykbt+M cki] ,d [kk¡lrh gqbZ ek¡ vkSj",,INT. EXT. RAJU’S HOUSE
84,DIALOGUE,FARHAN,"paralysed father, a coughing mother and",,INT. EXT. RAJU’S HOUSE
84,DIALOGUE,FARHAN,",d fouC;kgh cguA lksQs is f[kys gq, fLizax",,INT. EXT. RAJU’S HOUSE
84,DIALOGUE,FARHAN,an unwed sister. A sofa sprouting springs,,INT. EXT. RAJU’S HOUSE
84,DIALOGUE,FARHAN,vkSj Nr ls volZ jfuax okVjA ek¡ Ldwy,,INT. EXT. RAJU’S HOUSE
84,DIALOGUE,FARHAN,and a 24-hour water supply from the,,INT. EXT. RAJU’S HOUSE
